分类,序号,因子名称,最小分位超额年化,最大分位超额年化,最小分位换手,最大分位换手,IC,IR
财务类因子,146,在建工程(合计),38.82,0.8,0.18,0.32,0.432,0.103
财务类因子,147,合同资产,20.72,0.81,0.62,0.31,0.76,0.347
财务类因子,148,合同负债,92.99,0.26,0.42,0.84,0.486,0.536
财务类因子,149,流动负债的调整项目,0.41,0.37,0.35,0.29,0.334,0.005
财务类因子,150,流动资产的调整项目,-0.11,0.61,0.29,0.83,0.939,0.278
财务类因子,151,债权投资,7.41,0.81,0.33,0.67,0.501,0.362
财务类因子,152,递延收益,51.15,0.99,0.81,0.73,0.775,0.715
财务类因子,153,递延所得税资产,51.07,0.79,0.59,0.89,0.463,0.588
财务类因子,154,递延所得税负债,54.11,0.52,0.38,0.36,0.496,0.774
财务类因子,155,存出保证金,-179.59,0.64,0.13,0.95,0.681,0.885
财务类因子,156,吸收存款,5.98,0.09,0.39,0.68,0.88,0.436
财务类因子,157,衍生金融资产,21.39,0.49,0.59,0.07,0.49,0.633
财务类因子,158,衍生金融负债,99.69,0.49,0.82,0.78,0.482,0.792
财务类因子,159,应付职工薪酬,39.49,0.63,0.99,0.2,0.251,0.575
财务类因子,160,发放委托贷款及垫款,30.27,0.38,0.87,0.43,0.923,0.228
财务类因子,161,预计负债,30.14,0.73,0.2,0.01,0.906,0.671
财务类因子,162,以公允价值计量且其变动计入其他综合收益的金融资产,1.29,0.76,0.04,0.51,0.824,0.24
财务类因子,163,应付手续费及佣金,-55.64,0.55,0.62,0.23,0.837,0.144
财务类因子,164,固定资产(合计)：固定资产清理,21.33,0.95,0.67,0.52,0.151,0.902
财务类因子,165,固定资产(合计)：固定资产,64.44,0.04,0.57,0.03,0.242,0.376
财务类因子,166,固定资产(合计),64.14,0.93,0.33,0.51,0.044,0.428
财务类因子,167,一般风险准备,-6.64,0.56,0.31,0.63,0.185,0.205
财务类因子,168,商誉,14.48,0.64,0.23,0.68,0.422,0.857
财务类因子,169,持有待售资产,30.27,0.46,0.7,0.72,0.787,0.473
财务类因子,170,持有待售负债,4.09,0.78,0.95,0.56,0.684,0.892
财务类因子,171,持有至到期投资,0.46,0.02,0.41,0.72,0.539,0.525
财务类因子,172,无形资产,51.39,0.01,0.79,0.7,0.092,0.623
财务类因子,173,存放同业款项,-90.96,0.53,0.34,0.06,0.58,0.693
财务类因子,174,同业及其他金融机构存放款项,-24.99,0.28,0.36,0.9,0.362,0.334
财务类因子,175,存货,55.0,0.19,0.14,0.29,0.024,0.293
财务类因子,176,投资性房地产,32.21,0.14,0.81,0.61,0.289,0.646
财务类因子,177,租赁负债,33.22,0.44,0.59,0.28,0.808,0.911
财务类因子,178,拆出资金,-1.51,0.96,0.05,0.22,0.914,0.421
财务类因子,179,负债的调整项目,-187.77,0.27,0.02,0.06,0.519,0.681
财务类因子,180,长期借款,42.45,0.77,0.86,0.13,0.643,0.282
财务类因子,181,长期待摊费用,53.82,0.26,0.26,0.46,0.748,0.442
财务类因子,182,长期应付职工薪酬,16.45,0.12,0.88,0.88,0.223,0.634
财务类因子,183,长期股权投资,110.32,0.47,0.13,0.62,0.591,0.566
财务类因子,184,长期应付款(合计),27.35,0.54,0.51,0.12,0.323,0.826
财务类因子,185,长期应付款(合计)：长期应付款,8.13,0.29,0.59,0.38,0.445,0.089
财务类因子,186,长期应付款(合计)：专项应付款,126.48,0.67,0.6,0.83,0.112,0.204
财务类因子,187,长期应收款,13.33,0.32,0.83,0.13,0.407,0.326
财务类因子,188,一年内到期的非流动资产,11.21,0.18,0.06,0.18,0.635,0.681
财务类因子,189,非流动负债的调整项目,31.33,0.26,0.29,0.83,0.011,0.372
财务类因子,190,一年内到期的非流动负债,58.47,0.48,0.96,0.84,0.78,0.961
财务类因子,191,非流动资产的调整项目,0.36,0.99,0.49,0.41,0.342,0.906
