序号,因子名称,最小分位超额年化,最大分位超额年化,最小分位换手,最大分位换手,IC,IR
315,债权投资,7.41%,0.81%,0.33%,0.67%,0.501,0.362
316,递延收益,51.15%,0.99%,0.81%,0.73%,0.775,0.715
317,递延所得税资产,51.07%,0.79%,0.59%,0.89%,0.463,0.588
318,递延所得税负债,54.11%,0.52%,0.38%,0.36%,0.496,0.774
319,存出保证金,-179.59%,0.64%,0.13%,0.95%,0.681,0.885
320,吸收存款,5.98%,0.09%,0.39%,0.68%,0.880,0.436
321,衍生金融资产,21.39%,0.49%,0.59%,0.07%,0.490,0.633
322,衍生金融负债,99.69%,0.49%,0.82%,0.78%,0.482,0.792
323,应付职工薪酬,39.49%,0.63%,0.99%,0.20%,0.251,0.575
324,发放委托贷款及垫款,30.27%,0.38%,0.87%,0.43%,0.923,0.228
325,预计负债,30.14%,0.73%,0.20%,0.01%,0.906,0.671
326,以公允价值计量且其变动计入其他综合收益的金融资产,1.29%,0.76%,0.04%,0.51%,0.824,0.240
327,应付手续费及佣金,-55.64%,0.55%,0.62%,0.23%,0.837,0.144
328,固定资产(合计)：固定资产清理,21.33%,0.95%,0.67%,0.52%,0.151,0.902
329,固定资产(合计)：固定资产,64.44%,0.04%,0.57%,0.03%,0.242,0.376
330,固定资产(合计),64.14%,0.93%,0.33%,0.51%,0.044,0.428
331,一般风险准备,-6.64%,0.56%,0.31%,0.63%,0.185,0.205
